Counterparty,Instrument,USDSpots,USDFwdsSwapsTotal,USDSpotRank,USDFwdsSwapsRank
RBC,AUDUSD,177620406.0,39902189.0,5.0,10.0
RBC,EURGBP,16509521.0,0.0,3.0,0
RBC,EURHUF,0.0,66364.0,0,8.0
RBC,EURNOK,8664629.0,142248.0,9.0,8.0
RBC,EURPLN,0.0,121668.0,0,8.0
RBC,EURSEK,47649850.0,10942.0,6.0,10.0
RBC,EURUSD,210429872.0,0.0,5.0,0
RBC,GBPUSD,242370692.0,0.0,5.0,0
RBC,NZDUSD,81083819.0,0.0,4.0,0
RBC,USDBRL,0.0,2300000.0,0,10.0
RBC,USDCAD,246550000.0,1115680869.0,3.0,1.0
RBC,USDCHF,101420000.0,1244161058.0,6.0,1.0
RBC,USDCLP,0.0,160000.0,0,8.0
RBC,USDCNH,0.0,60244878.0,0,1.0
RBC,USDCZK,0.0,6309729.0,0,3.0
RBC,USDHUF,0.0,53858760.0,0,2.0
RBC,USDIDR,0.0,29555.0,0,11.0
RBC,USDILS,0.0,688376.0,0,6.0
RBC,USDINR,0.0,7000000.0,0,12.0
RBC,USDJPY,233100000.0,1232204051.0,4.0,1.0
RBC,USDMXN,0.0,209511403.0,0,1.0
RBC,USDNOK,0.0,264710161.0,0,1.0
RBC,USDPLN,0.0,99056177.0,0,1.0
RBC,USDSEK,0.0,303691931.0,0,1.0
RBC,USDSGD,20220000.0,181917749.0,7.0,1.0
RBC,USDTWD,0.0,1390728.0,0,12.0
RBC,USDZAR,0.0,49336381.0,0,1.0
RBSFX,AUDUSD,140022981.0,32818456.0,8.0,11.0
RBSFX,EURCZK,0.0,251669.0,0,6.0
RBSFX,EURGBP,17491796.0,0.0,2.0,0
RBSFX,EURHUF,3301416.0,0.0,9.0,0
RBSFX,EURNOK,23663738.0,2314998.0,8.0,6.0
RBSFX,EURPLN,10271884.0,857949.0,5.0,5.0
RBSFX,EURSEK,5104097.0,28812928.0,10.0,1.0
RBSFX,EURUSD,316656973.0,30365904.0,2.0,13.0
RBSFX,GBPUSD,301599442.0,172955573.0,3.0,5.0
RBSFX,NZDUSD,31449027.0,4055306.0,8.0,13.0
RBSFX,USDCAD,70030000.0,101400000.0,7.0,3.0
RBSFX,USDCHF,60030000.0,7560000.0,8.0,6.0
RBSFX,USDCNH,9740000.0,0.0,4.0,0
RBSFX,USDCZK,0.0,1709.0,0,12.0
RBSFX,USDIDR,0.0,21110000.0,0,2.0
RBSFX,USDINR,0.0,16700000.0,0,10.0
RBSFX,USDJPY,164370000.0,190240519.0,7.0,2.0
RBSFX,USDKRW,0.0,5330000.0,0,9.0
RBSFX,USDMXN,7580000.0,0.0,8.0,0
RBSFX,USDPHP,0.0,6970000.0,0,5.0
RBSFX,USDSGD,6760000.0,13794.0,10.0,11.0
RBSFX,USDTHB,29530000.0,0.0,2.0,0
RBSFX,USDTWD,0.0,8310000.0,0,11.0
RBSFX,USDZAR,14270000.0,0.0,5.0,0
SGFX,AUDUSD,132300169.0,136348637.0,9.0,6.0
SGFX,EURCZK,3819089.0,354536.0,6.0,4.0
SGFX,EURHUF,20307511.0,451442.0,4.0,6.0
SGFX,EURNOK,41911807.0,769929.0,4.0,7.0
SGFX,EURPLN,2665523.0,420308.0,8.0,7.0
SGFX,EURSEK,82971670.0,10402947.0,2.0,6.0
SGFX,EURUSD,180020513.0,330832490.0,7.0,2.0
SGFX,GBPUSD,201742156.0,19928992.0,7.0,9.0
SGFX,NZDUSD,55157918.0,170593517.0,5.0,2.0
SGFX,USDBRL,0.0,11220000.0,0,8.0
SGFX,USDCAD,5200000.0,190089.0,16.0,9.0
SGFX,USDCHF,3210000.0,8160590.0,16.0,5.0
SGFX,USDCLP,0.0,6813604.0,0,5.0
SGFX,USDCNH,5700000.0,25148015.0,7.0,2.0
SGFX,USDCZK,0.0,531892.0,0,5.0
SGFX,USDHUF,0.0,1116779.0,0,4.0
SGFX,USDIDR,0.0,56829.0,0,10.0
SGFX,USDILS,450000.0,0.0,10.0,0
SGFX,USDINR,0.0,71240182.0,0,5.0
SGFX,USDJPY,8460000.0,4921281.0,16.0,10.0
SGFX,USDKRW,0.0,10111620.0,0,7.0
SGFX,USDMXN,380000.0,79767.0,13.0,11.0
SGFX,USDPHP,0.0,14660000.0,0,1.0
SGFX,USDPLN,0.0,441545.0,0,3.0
SGFX,USDSGD,130000.0,29142176.0,14.0,3.0
SGFX,USDTHB,60000.0,6148950.0,8.0,5.0
SGFX,USDTWD,0.0,52220000.0,0,3.0
SGFX,USDZAR,20000.0,17622.0,13.0,13.0
STATESTFX,AUDUSD,33868347.0,56973147.0,16.0,8.0
STATESTFX,EURCZK,1054749.0,0.0,9.0,0
STATESTFX,EURHUF,889847.0,0.0,11.0,0
STATESTFX,EURNOK,1502484.0,44243.0,15.0,10.0
STATESTFX,EURPLN,590875.0,0.0,12.0,0
STATESTFX,EURSEK,1075752.0,88486.0,15.0,9.0
STATESTFX,EURUSD,55152406.0,34664933.0,10.0,12.0
STATESTFX,GBPUSD,29129086.0,73774669.0,12.0,6.0
STATESTFX,NZDUSD,14546081.0,5126804.0,13.0,12.0
STATESTFX,USDBRL,0.0,1926344.0,0,11.0
STATESTFX,USDCAD,10950000.0,0.0,13.0,0
STATESTFX,USDCHF,24170000.0,0.0,13.0,0
STATESTFX,USDCLP,0.0,364685.0,0,6.0
STATESTFX,USDCNH,590000.0,40030.0,11.0,10.0
STATESTFX,USDCOP,0.0,60000.0,0,10.0
STATESTFX,USDCZK,0.0,10857.0,0,11.0
STATESTFX,USDHUF,0.0,10764.0,0,10.0
STATESTFX,USDILS,550000.0,20051.0,9.0,10.0
STATESTFX,USDJPY,24800000.0,170157.0,12.0,14.0
STATESTFX,USDMXN,10000.0,1320000.0,14.0,7.0
STATESTFX,USDSGD,70000.0,40032.0,15.0,10.0
STATESTFX,USDTHB,380000.0,0.0,7.0,0
STATESTFX,USDZAR,1790000.0,13010000.0,9.0,3.0
TDFX,AUDUSD,0.0,368051074.0,0,3.0
TDFX,EURCZK,0.0,298145.0,0,5.0
TDFX,EURHUF,0.0,646387.0,0,5.0
TDFX,EURNOK,0.0,3187213.0,0,5.0
TDFX,EURPLN,0.0,1355522.0,0,4.0
TDFX,EURSEK,0.0,20297713.0,0,3.0
TDFX,EURUSD,0.0,172630769.0,0,5.0
